
NODE_1345900,NODE_10063
NODE_10063_1,NODE_3998445
NODE_1331512,NODE_10061
NODE_10061_1,NODE_1345837
NODE_1345837,NODE_10060
NODE_10060_1,NODE_1339949
NODE_1340876,NODE_10059
NODE_10059_1,NODE_1345786
NODE_1341364,NODE_10058
NODE_10058_1,NODE_1345786
NODE_1345784,NODE_10073
NODE_10073_1,NODE_1340878
NODE_1345798,NODE_10069
NODE_10069_1,NODE_1338472
NODE_1322571,NODE_10070
NODE_10070_1,NODE_1345798
NODE_1345798,NODE_10071
NODE_10071_1,NODE_1322566
NODE_1339196,NODE_10072
NODE_10072_1,NODE_1342084
NODE_1346020,NODE_9908
NODE_1345900,NODE_9905
NODE_1340693,NODE_9894
NODE_9894_1,NODE_1345835
NODE_1345787,NODE_9893
NODE_1341373,NODE_9890
NODE_9890_1,NODE_1345799
NODE_1337123,NODE_9889
NODE_9889_1,NODE_1345845
NODE_1345806,NODE_9888
NODE_9888_1,NODE_1320389
NODE_1342087,NODE_9887
NODE_9887_1,NODE_1345840
NODE_1342623,NODE_9886
NODE_9886_1,NODE_1345812
NODE_1337065,NODE_9885
NODE_9885_1,NODE_1346018
NODE_1345829,NODE_9884
NODE_9884_1,NODE_1342056
NODE_1345809,NODE_9883
NODE_1339195,NODE_9882
NODE_9882_1,NODE_1345841
NODE_1345785,NODE_9881
NODE_1345785,NODE_9880
NODE_9880_1,NODE_10248793
NODE_1347544,NODE_206
NODE_1342612,NODE_10066
NODE_1342613,NODE_1342612
NODE_1331540,NODE_1342613
NODE_1322569,NODE_1331540
NODE_1342615,NODE_1342614
NODE_1342614,NODE_1322569
NODE_1320957,NODE_1341367
NODE_1341367,NODE_1341890
NODE_1341890,NODE_1341891
NODE_1341891,NODE_1328656
NODE_10053_1,NODE_1335629
NODE_1335629,NODE_1342600
NODE_1341868,NODE_6276070
NODE_6276070,NODE_1341867
NODE_6290121_1,NODE_1336767
NODE_1336767,NODE_1342435
NODE_1339370,NODE_8175787
NODE_8175787,NODE_1321733
NODE_10248793,NODE_1340700
NODE_1340700,NODE_1342440
NODE_9881_1,NODE_10069697
NODE_10069697_1,NODE_1345839
NODE_1341165,NODE_10069712
NODE_10069712_1,NODE_1345785
NODE_10098246,NODE_1341409
NODE_10248797,NODE_10098256
NODE_10098256,NODE_10098246
NODE_1336609,NODE_1341368
NODE_1341368,NODE_10249307
NODE_10249307,NODE_1339912
NODE_1339912,NODE_1340873
NODE_10249296,NODE_10249384
NODE_10249384,NODE_10249398
NODE_10249398,NODE_10249412
NODE_10249412,NODE_10249426
NODE_10249426,NODE_10249440
NODE_10249440,NODE_10249454
NODE_10249454,NODE_10249468
NODE_10249468,NODE_10249482
NODE_10249482,NODE_10249298
NODE_10249307,NODE_10249535
NODE_10249535_1,NODE_10249296
NODE_10825550,NODE_1340880
NODE_1342608,NODE_11002418
NODE_11002418,NODE_1342606
NODE_1340678,NODE_11923951
NODE_1319727,NODE_13608809
NODE_13608809,NODE_1328143
NODE_1345786,NODE_13608835
NODE_13608835,NODE_1341365
NODE_9905_1,NODE_13724504
NODE_13724504,NODE_1319726
NODE_13724517,NODE_13724544
NODE_13724544,NODE_13724566
NODE_13724566,NODE_85939974
NODE_13724504,NODE_13724718
NODE_13724718_1,NODE_13724517
NODE_19214036,NODE_19214173
NODE_19214173,NODE_19214159
NODE_19214187,NODE_19214201
NODE_19214201,NODE_19214044
NODE_19214044,NODE_19214215
NODE_19214215,NODE_19214229
NODE_19214229,NODE_19214243
NODE_19214243,NODE_19214257
NODE_1340880,NODE_19214286
NODE_19214257,NODE_19214317
NODE_19214317,NODE_19214029
NODE_19214145,NODE_19214331
NODE_19214331,NODE_19214036
NODE_19214286_1,NODE_19214345
NODE_19214345,NODE_19214145
NODE_1336927,NODE_23519929
NODE_23519929,NODE_1335639
NODE_1340484,NODE_1341914
NODE_1341914,NODE_1340485
NODE_1340485,NODE_1321273
NODE_1321273,NODE_1340692
NODE_1340692,NODE_1331544
NODE_1331544,NODE_1340691
NODE_1340486,NODE_1321948
NODE_1321272,NODE_1340487
NODE_1340487,NODE_1340690
NODE_1340690,NODE_1319062
NODE_1319062,NODE_1340689
NODE_1340689,NODE_1336930
NODE_1336930,NODE_1321066
